contract_address,chain,protocol,method_id,method,absolute_executions,%,cum %
0x29469395eaf6f95920e59f858042f0e28d98a20b,eth,blur blend,0x619a309f,-,325,0.17%,38.90%
0xdef1c0ded9bec7f1a1670819833240f027b25eff,eth,0x,0x3598d8ab,,320,0.17%,39.07%
0x1111111254fb6c44bac0bed2854e76f90643097d,arb,1inch,0x7c025200,swap,319,0.17%,39.23%
0x09bd2a33c47746ff03b86bce4e885d03c74a8e8c,arb,sushiswap,0x2646478b,swap,313,0.16%,39.39%
0x50b6ebc2103bfec165949cc946d739d5650d7ae4,base,stargate,0x1114cd2a,swap,311,0.16%,39.55%
0x0000000000c2d145a2526bd8c716263bfebe1a72,eth,seaport,0x32389b71,-,311,0.16%,39.72%
0x2b0a43dccbd7d42c18f6a83f86d1a19fa58d541a,base,sushiswap,0xe2bbb158,deposit,310,0.16%,39.88%
0x49048044d57e1c92a77f79988d21fa8faf74e97e,eth,base bridge,0xe9e05c42,bridge,308,0.16%,40.04%
0x80e38291e06339d10aab483c65695d004dbd5c69,linea,?,0x2cc4081e,?,306,0.16%,40.20%
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,eth,paraswap,0x0b86a4c1,,303,0.16%,40.35%
0x7a250d5630b4cf539739df2c5dacb4c659f2488d,eth,uniswap,0x791ac947,swap,300,0.16%,40.51%
0x3a1d0952809f4948d15ebce8d345962a282c4fcb,bsc,?,0x7ac09bf7,?,298,0.15%,40.66%
0x327df1e6de05895d2ab08513aadd9313fe505d86,base,pancakeswap,0x7ff36ab5,swap,298,0.15%,40.82%
0x29469395eaf6f95920e59f858042f0e28d98a20b,eth,blur blend,0xc87df1c2,-,297,0.15%,40.97%
0x3a23f943181408eac424116af7b7790c94cb97a5,arb,socket,0x00000184,,296,0.15%,41.13%
0x6352a56caadc4f1e25cd6c75970fa768a3304e64,eth,openocean,0x90411a32,swap,293,0.15%,41.28%
0x3154cf16ccdb4c6d922629664174b904d80f2c35,eth,base bridge,0x9a2ac6d5,bridge,293,0.15%,41.43%
0x327df1e6de05895d2ab08513aadd9313fe505d86,base,pancakeswap,0x18cbafe5,swap,289,0.15%,41.58%
0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,eth,uniswap,0x5023b4df,,286,0.15%,41.73%
0x19ceead7105607cd444f5ad10dd51356436095a1,base,odos,0x83bd37f9,swap,279,0.14%,41.87%
0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,eth,uniswap,0x04e45aaf,,275,0.14%,42.02%
0xc36c85ef01e85d2ae9096e8d3416b3007edc3495,base,duelarenabattle,0xce55803f,?,268,0.14%,42.16%
0x9915d03d62b1d83f9a8890baebd72ed4bca49701,base,aerodrome,0xc00007b0,claim,265,0.14%,42.29%
0x3999d2c5207c06bbc5cf8a6bea52966cabb76d41,eth,unibot,0x19948479,,262,0.14%,42.43%
0xcf77a3ba9a5ca399b7c97c74d54e5b1beb874e43,base,aerodrome,0x5a47ddc3,deposit,255,0.13%,42.56%
0x6352a56caadc4f1e25cd6c75970fa768a3304e64,arb,openocean,0x90411a32,swap,255,0.13%,42.69%
0xc67e9efdb8a66a4b91b1f3731c75f500130373a4,arb,hyperliquid,0x5b4d793d,?,249,0.13%,42.82%
0xc9d198089d6c31d0ca5cc5b92c97a57a97bbfde2,eth,space riders (spr),0x42842e0e,-,249,0.13%,42.95%
0x1d0188c4b276a09366d05d6be06af61a73bc7535,linea,velocore,0xd3115a8a,,246,0.13%,43.08%
0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,eth,aave,0xa415bcad,,244,0.13%,43.21%
0xe0c38b2a8d09aad53f1c67734b9a95e43d5981c0,ftm,?,0x7c025200,?,243,0.13%,43.33%
0x431603567ecbb4aa1ce5a4fdbe5554caea658832,arb,perennial,0xbdec4a27,,232,0.12%,43.45%
0x4a364f8c717caad9a442737eb7b8a55cc6cf18d8,bsc,stargate,0x9fbf10fc,bridge swap,230,0.12%,43.57%
0x4e69a51f24f5a46919113cc78ab262da74a4611d,eth,mev bot,0x90fec7e7,,228,0.12%,43.69%
0xb4315e873dbcf96ffd0acd8ea43f689d8c20fb30,avax,trader joe,0x2a443fae,swap,226,0.12%,43.81%
0x1111111254eeb25477b68fb85ed929f73a960582,eth,1inch,0x2d9a56f6,,223,0.12%,43.92%
0x00000f312c54d0dd25888ee9cdc3dee988700000,matic,?,0x065573f8,?,221,0.11%,44.04%
0x6131b5fae19ea4f9d964eac0408e4408b66337b5,arb,kyberswap,0xe21fd0e9,,219,0.11%,44.15%
0x5f6ae08b8aeb7078cf2f96afb089d7c9f51da47d,eth,blast,0xf6326fb3,bridge,219,0.11%,44.27%
0x40a50cf069e992aa4536211b23f286ef88752187,eth,cowswap,0x322bba21,,219,0.11%,44.38%
0xb0d502e938ed5f4df2e681fe6e419ff29631d62b,op,stargate,0x9fbf10fc,bridge swap,218,0.11%,44.49%
0x4ae8cebccd7027820ba83188dfd73ccad0a92806,arb,layerzero,0x126928c4,,218,0.11%,44.61%
0x3999d2c5207c06bbc5cf8a6bea52966cabb76d41,eth,unibot,0x8ee938a9,,216,0.11%,44.72%
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,arb,paraswap,0x46c67b6d,,216,0.11%,44.83%
0xaccba5e852ab85e5e3a84bc8e36795bd8cec5c73,matic,?,0x7ac09bf7,?,216,0.11%,44.94%
0x6131b5fae19ea4f9d964eac0408e4408b66337b5,eth,kyberswap,0x8af033fb,,214,0.11%,45.05%
0x4200000000000000000000000000000000000006,base,weth,0xd0e30db0,,213,0.11%,45.16%
0x16613524e02ad97edfef371bc883f2f5d6c480a5,base,aerodrome voter,0x7715ee75,claim,213,0.11%,45.27%
0xb49c4e680174e331cb0a7ff3ab58afc9738d5f8b,op,?,0x1114cd2a,swap,210,0.11%,45.38%
0x16613524e02ad97edfef371bc883f2f5d6c480a5,base,aerodrome,0x7ac09bf7,vote,209,0.11%,45.49%
0x1111111254fb6c44bac0bed2854e76f90643097d,eth,1inch,0x7c025200,,208,0.11%,45.60%
0x29469395eaf6f95920e59f858042f0e28d98a20b,eth,blur blend,0x5e05b33c,-,204,0.11%,45.71%
0x1111111254eeb25477b68fb85ed929f73a960582,op,1inch,0x12aa3caf,swap,204,0.11%,45.81%
0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,eth,blur marketplace,0x3925c3c3,-,203,0.11%,45.92%
0x4200000000000000000000000000000000000006,base,weth,0x2e1a7d4d,withdraw,198,0.10%,46.02%
0x7e7a0e201fd38d3adaa9523da6c109a07118c96a,arb,synapse,0xc2288147,,197,0.10%,46.12%
0xa2c203d7ef78ed80810da8404090f926d67cd892,op,shitcoin,0x1249c58b,,196,0.10%,46.22%
0x062e904fcd616ce80a67a4f6c31b4b27d10e892f,ftm,?,0x66746d01,?,192,0.10%,46.32%
0x6131b5fae19ea4f9d964eac0408e4408b66337b5,eth,kyberswap,0xe21fd0e9,,192,0.10%,46.42%
0x135896de8421be2ec868e0b811006171d9df802a,eth,paraswap,0xd3454a35,,190,0.10%,46.52%
0x52eaecac2402633d98b95213d0b473e069d86590,base,?,0xe2bbb158,?,189,0.10%,46.62%
0xd1ad8ebfb0fb6306962e48260cf1e8062eb28cfa,eth,alfadao,0xa22cb465,,188,0.10%,46.72%
0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,arb,lifi,0x4630a0d8,,187,0.10%,46.81%
0xcf77a3ba9a5ca399b7c97c74d54e5b1beb874e43,base,aerodrome,0x0dede6c4,withdraw,184,0.10%,46.91%
0x150f94b44927f078737562f0fcf3c95c01cc2376,eth,stargate,0x1114cd2a,,182,0.09%,47.00%
0xbb5032d20b689d9ee69a7c490bd02fc9efc734c2,arb,rodeo,0xddd5e1b2,,181,0.09%,47.10%
0x29469395eaf6f95920e59f858042f0e28d98a20b,eth,blur blend,0x8553b234,-,181,0.09%,47.19%
0x327df1e6de05895d2ab08513aadd9313fe505d86,base,pancakeswap,0x38ed1739,swap,181,0.09%,47.29%
0x8e5d083ba7a46f13afccc27bfb7da372e9dfef22,arb,?,0x629337c6,?,180,0.09%,47.38%
0x3a23f943181408eac424116af7b7790c94cb97a5,eth,socket,0x00000184,?,179,0.09%,47.47%
0x82af49447d8a07e3bd95bd0d56f35241523fbab1,arb,weth,0xd0e30db0,-,178,0.09%,47.57%
0xb4315e873dbcf96ffd0acd8ea43f689d8c20fb30,avax,trader joe,0x9ab6156b,swap,177,0.09%,47.66%
0x227f65131a261548b057215bb1d5ab2997964c7d,base,aerodrome rewards,0x379607f5,claim,177,0.09%,47.75%
0x00000000000000adc04c56bf30ac9d3c0aaf14dc,eth,seaport,0x87201b41,fulfill order,176,0.09%,47.84%
0xcf77a3ba9a5ca399b7c97c74d54e5b1beb874e43,base,aerodrome,0xc6b7f1b6,swap,176,0.09%,47.93%
0x643770e279d5d0733f21d6dc03a8efbabf3255b4,matic,?,0x3593564c,swap,175,0.09%,48.02%
0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,arb,usdc.e,0xd505accf,,173,0.09%,48.11%
0xaaaaaaaaa24eeeb8d57d431224f73832bc34f688,eth,ambient,0x3d719cd9,swap,173,0.09%,48.20%
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,eth,paraswap,0xa94e78ef,,169,0.09%,48.29%
0xaaaaaaaaa24eeeb8d57d431224f73832bc34f688,eth,ambient,0xa15112f9,call,168,0.09%,48.38%
0x00c7f3082833e796a5b3e4bd59f6642ff44dcd15,arb,camelot,0xac9650d8,multicall,168,0.09%,48.46%
0x34688c3e5aad119851d5dc6aeb01bf6dea746ee7,base,baseswap,0x20f8e94e,claim,168,0.09%,48.55%
0xb311ec23c4a7578a4c18f66774a5d7b51dd1dd07,base,shitcoin,0x6871ee40,,167,0.09%,48.64%
0x1111111254fb6c44bac0bed2854e76f90643097d,arb,1inch,0xe449022e,,167,0.09%,48.73%
0xdaf1695c41327b61b9b9965ac6a5843a3198cf07,eth,manta,0x8b886bf2,bridge,166,0.09%,48.81%
0xec2432a227440139ddf1044c3fea7ae03203933e,eth,blur holding,0xc3a086d0,,165,0.09%,48.90%
0x4cf76043b3f97ba06917cbd90f9e3a2aac1b306e,base,uniswap,0x18cbafe5,swap,165,0.09%,48.98%
0xcc5382fe1ecadbf18629c87b9c89a27b438889d4,arb,chronos,0x7ac09bf7,vote,164,0.09%,49.07%
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,matic,paraswap,0x54e3f31b,,162,0.08%,49.15%
0x61c3a357bc3ca51b80ecd36cb1ae37e5465c6701,base,newthronegame,0x5dc22cce,,162,0.08%,49.24%
0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,eth,beanstalk,0x300dd6cf,farm (claim),162,0.08%,49.32%
0x0776c06907ce6ff3d9dbf84ba9b3422d7225942d,arb,penpie,0xe74fac20,,157,0.08%,49.40%
0xf64957c35409055776c7122ac655347ef88eaf9b,base,aerodrome,0xc00007b0,claim,156,0.08%,49.48%
0x3b070aa6847bd0fb56efadb351f49bbb7619dbc2,arb,?,0xac9650d8,multicall,156,0.08%,49.56%
0x5543550d65813c1fa76242227cbba0a28a297771,arb,?,0x06e75722,,156,0.08%,49.64%
0x39e098a153ad69834a9dac32f0fca92066ad03f4,zksync,maverick,0xac9650d8,multicall,155,0.08%,49.72%
0xe43638797513ef7a6d326a95e8647d86d2f5a099,arb,dolomite,0x58e8cf03,transfer between accounts,155,0.08%,49.81%
0x7e7a0e201fd38d3adaa9523da6c109a07118c96a,eth,synapse,0xc2288147,,154,0.08%,49.89%
0x4cf76043b3f97ba06917cbd90f9e3a2aac1b306e,base,uniswap,0x791ac947,swap,153,0.08%,49.96%
0x07cbcb5eb7b501365dd244d12245b1188df4ed57,base,aerodrome,0xc00007b0,claim,152,0.08%,50.04%
0x87803cb321624921cedaad4555f07daa0d1ed325,base,aerodrome,0xc00007b0,claim,151,0.08%,50.12%
0xa062ae8a9c5e11aaa026fc2670b0d65ccc8b2858,op,velodrome router,0xc6b7f1b6,swap,151,0.08%,50.20%
0xf882c982a95f4d3e8187efe12713835406d11840,base,shitnft,0x1249c58b,,150,0.08%,50.28%
0xc873fecbd354f5a56e00e710b90ef4201db2448d,arb,camelot,0x52aa4c22,swap,150,0.08%,50.36%
0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,matic,stargate,0x9fbf10fc,bridge swap,150,0.08%,50.43%
0xa2c203d7ef78ed80810da8404090f926d67cd892,op,shitnft,0x51905636,,148,0.08%,50.51%
