contract_address,chain,protocol,method_id,method,unique_executions,%,cum %,,,,,,,,,,
0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,matic,uniswap,0x3593564c,swap,42,0.10%,20.11%,,,,,,,,,,
0x00000000000000adc04c56bf30ac9d3c0aaf14dc,eth,seaport,0xb3a34c4c,fulfill order,42,0.10%,20.22%,,,,,,,,,,
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,eth,paraswap,0xa94e78ef,,41,0.10%,20.32%,,,,,,,,,,
0x327df1e6de05895d2ab08513aadd9313fe505d86,base,pancakeswap,0x18cbafe5,swap,41,0.10%,20.42%,,,,,,,,,,
0x8fb956ce2921954c45cb3bb41978c4c6c9736af2,eth,shitnft,0xb77a147b,-,40,0.10%,20.52%,,,,,,,,,,
0xec2432a227440139ddf1044c3fea7ae03203933e,eth,blur holding,0xb6b55f25,-,40,0.10%,20.62%,,,,,,,,,,
0x1111111254fb6c44bac0bed2854e76f90643097d,eth,1inch,0x7c025200,,40,0.10%,20.72%,,,,,,,,,,
0x7d5861cfe1c74aaa0999b7e2651bf2ebd2a62d89,base,shitcoin,0x45368181,mint,40,0.10%,20.82%,,,,,,,,,,
0xdef1c0ded9bec7f1a1670819833240f027b25eff,eth,0x,0xa578efaf,,40,0.10%,20.92%,,,,,,,,,,
0xba12222222228d8ba445958a75a0704d566bf2c8,eth,balancer,0x52bbbe29,swap,40,0.10%,21.02%,,,,,,,,,,
0x19ceead7105607cd444f5ad10dd51356436095a1,base,odos,0x83bd37f9,swap,39,0.10%,21.12%,,,,,,,,,,
0xc873fecbd354f5a56e00e710b90ef4201db2448d,arb,camelot,0x52aa4c22,swap,39,0.10%,21.21%,,,,,,,,,,
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,eth,paraswap,0x54e3f31b,swap,38,0.09%,21.31%,,,,,,,,,,
0x00000000000000adc04c56bf30ac9d3c0aaf14dc,eth,seaport,0xe7acab24,fulfill order,38,0.09%,21.40%,,,,,,,,,,
0xf951e335afb289353dc249e82926178eac7ded78,eth,swell network,0xd0e30db0,stake,38,0.09%,21.50%,,,,,,,,,,
0xc36442b4a4522e871399cd717abdd847ab11fe88,eth,uniswap,0xac9650d8,multicall,37,0.09%,21.59%,,,,,,,,,,
0xaaaaaaaaa24eeeb8d57d431224f73832bc34f688,eth,ambient,0xa15112f9,call,37,0.09%,21.68%,,,,,,,,,,
0x20f0b18bdde8e3dd0e42c173062ebdd05c421151,base,firebird,0x7c025200,,37,0.09%,21.78%,,,,,,,,,,
0xa062ae8a9c5e11aaa026fc2670b0d65ccc8b2858,op,velodrome router,0xcac88ea9,swap,37,0.09%,21.87%,,,,,,,,,,
0x253553366da8546fc250f225fe3d25d0c782303b,eth,ens,0xf14fcbc8,,37,0.09%,21.96%,,,,,,,,,,
0x1d0188c4b276a09366d05d6be06af61a73bc7535,linea,velocore,0xd3115a8a,,37,0.09%,22.05%,,,,,,,,,,
0x10417734001162ea139e8b044dfe28dbb8b28ad0,arb,rhino.fi,0xdb6b5246,deposit,35,0.09%,22.14%,,,,,,,,,,
0xcf77a3ba9a5ca399b7c97c74d54e5b1beb874e43,base,aerodrome,0xcac88ea9,swap,35,0.09%,22.23%,,,,,,,,,,
0x4cf76043b3f97ba06917cbd90f9e3a2aac1b306e,base,uniswap,0x791ac947,swap,35,0.09%,22.31%,,,,,,,,,,
0xb4315e873dbcf96ffd0acd8ea43f689d8c20fb30,avax,trader joe,0x2a443fae,swap,35,0.09%,22.40%,,,,,,,,,,
0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,arb,lifi,0x1fd8010c,,35,0.09%,22.49%,,,,,,,,,,
0x253553366da8546fc250f225fe3d25d0c782303b,eth,ens,0x74694a2b,,35,0.09%,22.58%,,,,,,,,,,
0xdef1c0ded9bec7f1a1670819833240f027b25eff,eth,0x,0x415565b0,,35,0.09%,22.66%,,,,,,,,,,
0x1d42783e7eeacae12ebc315d1d2d0e3c6230a068,arb,rage trade,0xba087652,redeem,35,0.09%,22.75%,,,,,,,,,,
0x885fce983b6a01633f764325b8c3c5d31032c995,eth,?,0x8b9e4f93,?,34,0.08%,22.84%,,,,,,,,,,
0xae0ee0a63a2ce6baeeffe56e7714fb4efe48d419,eth,starknet,0xe2bbb158,bridge,34,0.08%,22.92%,,,,,,,,,,
0x45f1a95a4d3f3836523f5c83673c797f4d4d263b,base,stargate,0x9fbf10fc,bridge swap,34,0.08%,23.01%,,,,,,,,,,
0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,avax,stargate,0x9fbf10fc,bridge swap,34,0.08%,23.09%,,,,,,,,,,
0x40a50cf069e992aa4536211b23f286ef88752187,eth,cowswap,0x322bba21,swap,33,0.08%,23.17%,,,,,,,,,,
0xcf77a3ba9a5ca399b7c97c74d54e5b1beb874e43,base,aerodrome,0x0dede6c4,withdraw,33,0.08%,23.25%,,,,,,,,,,
0x58b9cb810a68a7f3e1e4f8cb45d1b9b3c79705e8,arb,connext,0x5c19a95c,,33,0.08%,23.34%,,,,,,,,,,
0x4dbd4fc535ac27206064b68ffcf827b0a60bab3f,eth,arbitrum,0x439370b1,bridge,32,0.08%,23.42%,,,,,,,,,,
0xdef1c0ded9bec7f1a1670819833240f027b25eff,eth,0x,0xdac748d4,,32,0.08%,23.50%,,,,,,,,,,
0xec8b0f7ffe3ae75d7ffab09429e3675bb63503e4,op,uniswap,0x3593564c,swap,32,0.08%,23.58%,,,,,,,,,,
0x39e098a153ad69834a9dac32f0fca92066ad03f4,zksync,?,0xac9650d8,multicall,32,0.08%,23.66%,,,,,,,,,,
0x6131b5fae19ea4f9d964eac0408e4408b66337b5,matic,kyberswap,0xe21fd0e9,,32,0.08%,23.74%,,,,,,,,,,
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,matic,paraswap,0xa94e78ef,,32,0.08%,23.82%,,,,,,,,,,
